wild_mut,ALTS910101,BENS940101,BENS940102,BENS940103,BENS940104,CSEM940101,DAYM780301,FEND850101,FITW660101,GEOD900101,GONG920101,GRAR740104,HENS920101,HENS920102,HENS920103,JOHM930101,JOND920103,JOND940101,KOLA920101,LEVJ860101,LUTR910101,LUTR910102,LUTR910103,LUTR910104,LUTR910105,LUTR910106,LUTR910107,LUTR910108,LUTR910109,MCLA710101,MCLA720101,MIYS930101,MIYT790101,MOHR870101,NIEK910101,NIEK910102,OVEJ920101,QU_C930101,QU_C930102,QU_C930103,RISJ880101,TUDE900101,AZAE970101,AZAE970102,RIER950101,WEIL970101,WEIL970102,MEHP950102,KAPO950101,VOGG950101,BLAJ010101,PRLA000101,PRLA000102,QUIB020101,NAOD960101,RUSR970101,RUSR970102,RUSR970103,OGAK980101,KANM000101,NGPC000101,MUET010101,MUET020101,MUET020102,CROG050101
MH,4.0,-3.4,-2.4,-1.5,-1.8,-0.19,2.0,1.0,3.0,9.0,-1.3,87.0,0.0,2.0,4.0,-2.3,2.0,3.0,0.0,1.0,3.0,5.0,5.0,8.0,11.0,3.0,4.0,7.0,3.0,3.0,0.0,-0.86,2.19,10.0,-0.08,-0.06,2.0,0.461,0.441,3.0,-1.2,8.0,1.0,2.0,60.0,0.0,2.0,0.96,11.4,3.9,5.0,-1.04,-3.66,-0.8,1.0,3.0,1.0,3.0,-9.7,19.0,4.0,-4.0,3.0,2.0,2.0
HM,4.0,-3.4,-2.4,-1.5,-1.8,-0.19,2.0,1.0,3.0,9.0,-1.3,87.0,0.0,2.0,4.0,-2.3,2.0,3.0,0.0,1.0,3.0,5.0,5.0,8.0,11.0,3.0,4.0,7.0,3.0,3.0,0.0,-0.86,2.19,10.0,-0.08,-0.06,2.0,0.461,0.441,3.0,-1.2,8.0,1.0,2.0,60.0,0.0,2.0,0.96,11.4,3.9,5.0,-1.04,-3.66,-0.8,1.0,3.0,1.0,3.0,-9.7,19.0,4.0,-4.0,3.0,2.0,2.0
MI,1.0,4.0,3.1,2.6,3.3,0.36,2.0,4.0,1.0,9.0,2.5,10.0,2.0,2.0,2.0,2.6,3.0,1.0,0.0,0.0,20.0,18.0,17.0,3.0,10.0,3.0,22.0,12.0,8.0,5.0,3.0,0.67,0.29,9.0,0.15,0.18,1.0,0.44,0.842,5.0,0.9,18.0,2.0,3.0,98.0,2.0,1.0,1.16,20.9,7.7,10.0,0.99,2.94,2.2,3.0,1.0,5.0,4.0,-7.4,12.0,3.0,4.0,2.0,2.0,1.0
IM,1.0,4.0,3.1,2.6,3.3,0.36,2.0,4.0,1.0,9.0,2.5,10.0,2.0,2.0,2.0,2.6,3.0,1.0,0.0,0.0,20.0,18.0,17.0,3.0,10.0,3.0,22.0,12.0,8.0,5.0,3.0,0.67,0.29,9.0,0.15,0.18,1.0,0.44,0.842,5.0,0.9,18.0,2.0,3.0,98.0,2.0,1.0,1.16,20.9,7.7,10.0,0.99,2.94,2.2,3.0,1.0,5.0,4.0,-7.4,12.0,3.0,4.0,2.0,2.0,1.0
ML,3.0,2.9,3.2,2.9,1.5,0.38,4.0,5.0,1.0,9.0,2.8,15.0,2.0,3.0,3.0,4.4,3.0,1.0,6.6,2.0,24.0,13.0,13.0,2.0,12.0,2.0,24.0,8.0,8.0,6.0,3.0,0.5,0.41,11.0,0.41,0.47,3.0,0.112,0.881,6.0,1.8,24.0,5.0,6.0,96.0,2.0,0.0,1.06,22.4,8.0,11.0,1.61,4.32,3.1,5.0,8.0,6.0,6.0,-7.0,24.0,2.0,4.0,4.0,3.0,2.0
LM,3.0,2.9,3.2,2.9,1.5,0.38,4.0,5.0,1.0,9.0,2.8,15.0,2.0,3.0,3.0,4.4,3.0,1.0,6.6,2.0,24.0,13.0,13.0,2.0,12.0,2.0,24.0,8.0,8.0,6.0,3.0,0.5,0.41,11.0,0.41,0.47,3.0,0.112,0.881,6.0,1.8,24.0,5.0,6.0,96.0,2.0,0.0,1.06,22.4,8.0,11.0,1.61,4.32,3.1,5.0,8.0,6.0,6.0,-7.0,24.0,2.0,4.0,4.0,3.0,2.0
MK,0.0,-2.9,-2.0,-1.5,1.6,-0.16,0.0,2.0,1.0,3.0,-1.4,95.0,1.0,2.0,3.0,-1.9,2.0,1.0,5.0,1.0,8.0,11.0,7.0,3.0,5.0,6.0,10.0,8.0,4.0,1.0,0.0,-1.03,2.63,8.0,0.05,0.09,1.0,0.285,-0.044,0.0,0.4,19.0,4.0,5.0,24.0,0.0,1.0,1.03,15.4,3.8,4.0,-1.62,-5.47,-0.5,4.0,1.0,1.0,0.0,-8.2,12.0,6.0,-5.5,2.0,1.0,2.0
KM,0.0,-2.9,-2.0,-1.5,1.6,-0.16,0.0,2.0,1.0,3.0,-1.4,95.0,1.0,2.0,3.0,-1.9,2.0,1.0,5.0,1.0,8.0,11.0,7.0,3.0,5.0,6.0,10.0,8.0,4.0,1.0,0.0,-1.03,2.63,8.0,0.05,0.09,1.0,0.285,-0.044,0.0,0.4,19.0,4.0,5.0,24.0,0.0,1.0,1.03,15.4,3.8,4.0,-1.62,-5.47,-0.5,4.0,1.0,1.0,0.0,-8.2,12.0,6.0,-5.5,2.0,1.0,2.0
MM,8.0,4.8,4.9,4.5,5.4,1.0,6.0,6.0,0.0,10.0,4.3,0.0,6.0,8.0,9.0,11.2,6.0,3.0,10.0,2.0,40.0,61.0,44.0,17.0,7.0,35.0,52.0,40.0,25.0,8.0,6.0,0.97,0.0,16.0,1.0,1.0,8.0,1.0,1.0,8.0,2.2,100.0,2.0,4.0,100.0,4.0,1.0,1.05,25.9,9.5,13.0,3.75,10.21,5.4,4.0,9.0,3.0,5.0,-6.7,51.0,6.0,7.0,8.0,4.0,7.0
FA,4.0,-3.2,-3.1,-2.6,-2.4,-0.25,4.0,2.0,2.0,7.0,-2.3,113.0,2.0,3.0,4.0,-3.2,3.0,2.0,0.0,1.0,13.0,24.0,20.0,18.0,4.0,12.0,16.0,23.0,9.0,1.0,0.0,-0.47,3.23,10.0,-0.18,-0.19,3.0,0.628,0.874,5.0,0.6,8.0,4.0,2.0,87.0,0.0,2.0,1.16,11.9,2.9,1.0,-0.76,-2.42,-1.6,1.0,1.0,0.0,0.0,-7.9,19.0,1.0,0.0,3.0,2.0,2.0
AF,4.0,-3.2,-3.1,-2.6,-2.4,-0.25,4.0,2.0,2.0,7.0,-2.3,113.0,2.0,3.0,4.0,-3.2,3.0,2.0,0.0,1.0,13.0,24.0,20.0,18.0,4.0,12.0,16.0,23.0,9.0,1.0,0.0,-0.47,3.23,10.0,-0.18,-0.19,3.0,0.628,0.874,5.0,0.6,8.0,4.0,2.0,87.0,0.0,2.0,1.16,11.9,2.9,1.0,-0.76,-2.42,-1.6,1.0,1.0,0.0,0.0,-7.9,19.0,1.0,0.0,3.0,2.0,2.0
FR,4.0,-4.9,-4.3,-3.5,-1.5,-0.31,4.0,1.0,2.0,1.0,-3.2,97.0,2.0,4.0,5.0,-6.0,4.0,4.0,9.0,1.0,14.0,11.0,18.0,14.0,9.0,10.0,15.0,22.0,11.0,1.0,0.0,-0.79,2.47,5.0,0.15,0.2,4.0,0.552,0.108,0.0,0.4,11.0,8.0,8.0,0.0,2.0,1.0,1.26,10.1,2.0,6.0,-1.4,-4.36,-3.2,5.0,5.0,3.0,1.0,-8.1,30.0,7.0,-5.5,5.0,3.0,3.0
RF,4.0,-4.9,-4.3,-3.5,-1.5,-0.31,4.0,1.0,2.0,1.0,-3.2,97.0,2.0,4.0,5.0,-6.0,4.0,4.0,9.0,1.0,14.0,11.0,18.0,14.0,9.0,10.0,15.0,22.0,11.0,1.0,0.0,-0.79,2.47,5.0,0.15,0.2,4.0,0.552,0.108,0.0,0.4,11.0,8.0,8.0,0.0,2.0,1.0,1.26,10.1,2.0,6.0,-1.4,-4.36,-3.2,5.0,5.0,3.0,1.0,-8.1,30.0,7.0,-5.5,5.0,3.0,3.0
FN,4.0,-3.5,-3.5,-3.2,-1.3,-0.33,4.0,1.0,2.0,6.0,-3.1,158.0,2.0,4.0,6.0,-3.8,3.0,4.0,0.0,1.0,11.0,19.0,18.0,15.0,8.0,6.0,14.0,22.0,9.0,0.0,0.0,-0.71,3.7,6.0,-0.13,-0.12,3.0,0.278,-0.072,1.0,0.4,23.0,9.0,9.0,47.0,1.0,2.0,1.11,11.4,2.1,3.0,-2.25,-6.22,-2.5,6.0,1.0,1.0,1.0,-8.2,29.0,1.0,-2.0,5.0,3.0,4.0
NF,4.0,-3.5,-3.5,-3.2,-1.3,-0.33,4.0,1.0,2.0,6.0,-3.1,158.0,2.0,4.0,6.0,-3.8,3.0,4.0,0.0,1.0,11.0,19.0,18.0,15.0,8.0,6.0,14.0,22.0,9.0,0.0,0.0,-0.71,3.7,6.0,-0.13,-0.12,3.0,0.278,-0.072,1.0,0.4,23.0,9.0,9.0,47.0,1.0,2.0,1.11,11.4,2.1,3.0,-2.25,-6.22,-2.5,6.0,1.0,1.0,1.0,-8.2,29.0,1.0,-2.0,5.0,3.0,4.0
FD,7.0,-5.7,-5.4,-4.7,-1.7,-0.4,6.0,1.0,2.0,2.0,-4.5,177.0,4.0,5.0,6.0,-7.0,5.0,6.0,0.0,1.0,15.0,25.0,18.0,26.0,17.0,24.0,20.0,24.0,21.0,1.0,0.0,-0.62,4.27,4.0,-0.31,-0.35,5.0,0.475,-0.107,0.0,-0.3,31.0,10.0,9.0,19.0,4.0,1.0,1.17,9.04,0.7,6.0,-2.19,-5.06,-3.7,6.0,3.0,6.0,4.0,-9.5,33.0,5.0,-5.5,7.0,5.0,5.0
DF,7.0,-5.7,-5.4,-4.7,-1.7,-0.4,6.0,1.0,2.0,2.0,-4.5,177.0,4.0,5.0,6.0,-7.0,5.0,6.0,0.0,1.0,15.0,25.0,18.0,26.0,17.0,24.0,20.0,24.0,21.0,1.0,0.0,-0.62,4.27,4.0,-0.31,-0.35,5.0,0.475,-0.107,0.0,-0.3,31.0,10.0,9.0,19.0,4.0,1.0,1.17,9.04,0.7,6.0,-2.19,-5.06,-3.7,6.0,3.0,6.0,4.0,-9.5,33.0,5.0,-5.5,7.0,5.0,5.0
FC,6.0,-0.1,-0.1,-0.7,1.8,0.3,4.0,3.0,1.0,8.0,-0.8,205.0,2.0,4.0,4.0,-4.4,0.0,1.0,5.0,1.0,12.0,36.0,4.0,12.0,12.0,40.0,19.0,4.0,31.0,0.0,0.0,0.39,2.24,10.0,-0.05,-0.07,2.0,0.55,0.857,6.0,-1.6,11.0,2.0,3.0,89.0,0.0,2.0,1.04,13.5,4.4,12.0,1.13,1.72,-0.8,3.0,1.0,3.0,3.0,-8.9,18.0,0.0,2.5,4.0,2.0,2.0
CF,6.0,-0.1,-0.1,-0.7,1.8,0.3,4.0,3.0,1.0,8.0,-0.8,205.0,2.0,4.0,4.0,-4.4,0.0,1.0,5.0,1.0,12.0,36.0,4.0,12.0,12.0,40.0,19.0,4.0,31.0,0.0,0.0,0.39,2.24,10.0,-0.05,-0.07,2.0,0.55,0.857,6.0,-1.6,11.0,2.0,3.0,89.0,0.0,2.0,1.04,13.5,4.4,12.0,1.13,1.72,-0.8,3.0,1.0,3.0,3.0,-8.9,18.0,0.0,2.5,4.0,2.0,2.0
FQ,6.0,-4.4,-3.6,-2.8,-2.1,-0.44,5.0,1.0,2.0,6.0,-2.6,116.0,4.0,5.0,5.0,-6.4,4.0,4.0,6.6,1.0,15.0,20.0,13.0,14.0,9.0,16.0,18.0,19.0,12.0,0.0,0.0,-0.85,2.81,7.0,-0.25,-0.26,4.0,0.364,0.482,3.0,0.7,22.0,10.0,10.0,51.0,0.0,3.0,1.07,11.5,2.6,4.0,-2.31,-5.54,-1.7,5.0,6.0,2.0,3.0,-8.6,29.0,2.0,-2.0,4.0,2.0,3.0
QF,6.0,-4.4,-3.6,-2.8,-2.1,-0.44,5.0,1.0,2.0,6.0,-2.6,116.0,4.0,5.0,5.0,-6.4,4.0,4.0,6.6,1.0,15.0,20.0,13.0,14.0,9.0,16.0,18.0,19.0,12.0,0.0,0.0,-0.85,2.81,7.0,-0.25,-0.26,4.0,0.364,0.482,3.0,0.7,22.0,10.0,10.0,51.0,0.0,3.0,1.07,11.5,2.6,4.0,-2.31,-5.54,-1.7,5.0,6.0,2.0,3.0,-8.6,29.0,2.0,-2.0,4.0,2.0,3.0
FE,6.0,-6.7,-5.7,-4.3,-2.9,-0.5,5.0,0.0,3.0,2.0,-3.9,140.0,3.0,5.0,6.0,-6.4,5.0,6.0,0.0,1.0,18.0,30.0,24.0,21.0,12.0,7.0,22.0,28.0,13.0,0.0,0.0,-0.81,3.59,6.0,-0.24,-0.27,4.0,0.433,-0.187,0.0,0.6,40.0,7.0,7.0,26.0,4.0,1.0,1.17,9.24,1.3,10.0,-1.61,-4.44,-13.7,6.0,4.0,5.0,5.0,-8.2,32.0,5.0,-5.5,6.0,4.0,4.0
EF,6.0,-6.7,-5.7,-4.3,-2.9,-0.5,5.0,0.0,3.0,2.0,-3.9,140.0,3.0,5.0,6.0,-6.4,5.0,6.0,0.0,1.0,18.0,30.0,24.0,21.0,12.0,7.0,22.0,28.0,13.0,0.0,0.0,-0.81,3.59,6.0,-0.24,-0.27,4.0,0.433,-0.187,0.0,0.6,40.0,7.0,7.0,26.0,4.0,1.0,1.17,9.24,1.3,10.0,-1.61,-4.44,-13.7,6.0,4.0,5.0,5.0,-8.2,32.0,5.0,-5.5,6.0,4.0,4.0
FG,5.0,-5.7,-5.8,-5.4,-1.9,-0.09,5.0,1.0,2.0,6.0,-5.2,153.0,3.0,5.0,6.0,-8.6,5.0,4.0,0.0,1.0,24.0,52.0,21.0,25.0,10.0,17.0,30.0,26.0,15.0,0.0,0.0,-0.52,4.14,7.0,-0.05,-0.05,6.0,0.455,0.0,0.0,-0.4,12.0,4.0,3.0,83.0,2.0,1.0,1.3,9.84,0.0,8.0,-2.67,-7.46,-4.7,3.0,1.0,6.0,3.0,-8.1,32.0,2.0,-1.0,6.0,4.0,5.0
GF,5.0,-5.7,-5.8,-5.4,-1.9,-0.09,5.0,1.0,2.0,6.0,-5.2,153.0,3.0,5.0,6.0,-8.6,5.0,4.0,0.0,1.0,24.0,52.0,21.0,25.0,10.0,17.0,30.0,26.0,15.0,0.0,0.0,-0.52,4.14,7.0,-0.05,-0.05,6.0,0.455,0.0,0.0,-0.4,12.0,4.0,3.0,83.0,2.0,1.0,1.3,9.84,0.0,8.0,-2.67,-7.46,-4.7,3.0,1.0,6.0,3.0,-8.1,32.0,2.0,-1.0,6.0,4.0,5.0
FH,2.0,0.1,0.3,0.0,-1.1,-0.06,2.0,2.0,2.0,7.0,-0.1,100.0,2.0,2.0,2.0,-1.7,0.0,3.0,5.0,1.0,6.0,10.0,9.0,7.0,3.0,6.0,9.0,13.0,3.0,4.0,2.0,-0.43,2.63,9.0,0.17,0.2,2.0,0.405,0.511,4.0,-1.1,10.0,1.0,1.0,58.0,0.0,1.0,1.05,10.7,5.1,1.0,-0.22,0.25,-0.9,2.0,0.0,0.0,0.0,-8.2,8.0,2.0,-1.0,0.0,0.0,1.0
HF,2.0,0.1,0.3,0.0,-1.1,-0.06,2.0,2.0,2.0,7.0,-0.1,100.0,2.0,2.0,2.0,-1.7,0.0,3.0,5.0,1.0,6.0,10.0,9.0,7.0,3.0,6.0,9.0,13.0,3.0,4.0,2.0,-0.43,2.63,9.0,0.17,0.2,2.0,0.405,0.511,4.0,-1.1,10.0,1.0,1.0,58.0,0.0,1.0,1.05,10.7,5.1,1.0,-0.22,0.25,-0.9,2.0,0.0,0.0,0.0,-8.2,8.0,2.0,-1.0,0.0,0.0,1.0
FI,0.0,0.0,0.5,0.9,1.3,0.6,1.0,4.0,1.0,9.0,1.0,21.0,0.0,0.0,1.0,0.5,0.0,1.0,0.0,1.0,7.0,4.0,10.0,4.0,7.0,10.0,5.0,3.0,3.0,3.0,1.0,0.45,0.61,12.0,0.27,0.32,1.0,0.532,0.893,5.0,1.0,32.0,6.0,7.0,96.0,0.0,0.0,1.54,18.4,6.2,3.0,0.76,2.3,2.2,6.0,5.0,4.0,4.0,-7.2,8.0,0.0,1.5,0.0,1.0,0.0
IF,0.0,0.0,0.5,0.9,1.3,0.6,1.0,4.0,1.0,9.0,1.0,21.0,0.0,0.0,1.0,0.5,0.0,1.0,0.0,1.0,7.0,4.0,10.0,4.0,7.0,10.0,5.0,3.0,3.0,3.0,1.0,0.45,0.61,12.0,0.27,0.32,1.0,0.532,0.893,5.0,1.0,32.0,6.0,7.0,96.0,0.0,0.0,1.54,18.4,6.2,3.0,0.76,2.3,2.2,6.0,5.0,4.0,4.0,-7.2,8.0,0.0,1.5,0.0,1.0,0.0
FL,0.0,2.4,2.2,2.1,2.2,0.44,2.0,4.0,1.0,9.0,2.0,22.0,1.0,1.0,0.0,1.8,2.0,1.0,5.0,0.0,11.0,2.0,12.0,4.0,6.0,4.0,10.0,4.0,1.0,5.0,2.0,0.48,0.63,11.0,-0.08,-0.08,2.0,0.769,0.927,6.0,1.0,36.0,5.0,6.0,94.0,1.0,1.0,1.27,20.6,7.2,3.0,1.23,3.9,3.7,6.0,3.0,4.0,4.0,-6.6,17.0,1.0,2.5,2.0,2.0,1.0
LF,0.0,2.4,2.2,2.1,2.2,0.44,2.0,4.0,1.0,9.0,2.0,22.0,1.0,1.0,0.0,1.8,2.0,1.0,5.0,0.0,11.0,2.0,12.0,4.0,6.0,4.0,10.0,4.0,1.0,5.0,2.0,0.48,0.63,11.0,-0.08,-0.08,2.0,0.769,0.927,6.0,1.0,36.0,5.0,6.0,94.0,1.0,1.0,1.27,20.6,7.2,3.0,1.23,3.9,3.7,6.0,3.0,4.0,4.0,-6.6,17.0,1.0,2.5,2.0,2.0,1.0
FK,6.0,-6.3,-5.1,-3.6,-2.8,-0.41,5.0,0.0,3.0,1.0,-3.3,102.0,3.0,5.0,5.0,-5.6,5.0,5.0,5.0,1.0,26.0,30.0,30.0,23.0,11.0,14.0,29.0,34.0,14.0,0.0,0.0,-1.03,2.85,6.0,-0.16,-0.18,3.0,0.217,0.061,1.0,0.1,26.0,11.0,10.0,22.0,2.0,1.0,1.11,9.68,1.9,8.0,-2.41,-6.19,-2.8,7.0,0.0,4.0,1.0,-8.8,29.0,7.0,-5.5,5.0,3.0,4.0
KF,6.0,-6.3,-5.1,-3.6,-2.8,-0.41,5.0,0.0,3.0,1.0,-3.3,102.0,3.0,5.0,5.0,-5.6,5.0,5.0,5.0,1.0,26.0,30.0,30.0,23.0,11.0,14.0,29.0,34.0,14.0,0.0,0.0,-1.03,2.85,6.0,-0.16,-0.18,3.0,0.217,0.061,1.0,0.1,26.0,11.0,10.0,22.0,2.0,1.0,1.11,9.68,1.9,8.0,-2.41,-6.19,-2.8,7.0,0.0,4.0,1.0,-8.8,29.0,7.0,-5.5,5.0,3.0,4.0
FM,1.0,-0.1,0.7,1.3,0.5,0.22,0.0,2.0,2.0,8.0,1.6,28.0,0.0,0.0,0.0,-0.6,0.0,0.0,6.6,0.0,13.0,2.0,13.0,1.0,2.0,2.0,11.0,8.0,1.0,5.0,2.0,0.35,0.82,10.0,-0.02,-0.01,0.0,0.111,0.903,5.0,-0.2,20.0,2.0,3.0,98.0,2.0,2.0,1.21,20.2,6.8,0.0,0.8,2.66,1.7,3.0,0.0,4.0,0.0,-8.5,2.0,0.0,2.5,1.0,1.0,1.0
MF,1.0,-0.1,0.7,1.3,0.5,0.22,0.0,2.0,2.0,8.0,1.6,28.0,0.0,0.0,0.0,-0.6,0.0,0.0,6.6,0.0,13.0,2.0,13.0,1.0,2.0,2.0,11.0,8.0,1.0,5.0,2.0,0.35,0.82,10.0,-0.02,-0.01,0.0,0.111,0.903,5.0,-0.2,20.0,2.0,3.0,98.0,2.0,2.0,1.21,20.2,6.8,0.0,0.8,2.66,1.7,3.0,0.0,4.0,0.0,-8.5,2.0,0.0,2.5,1.0,1.0,1.0
FF,8.0,8.3,7.7,7.2,4.5,1.0,9.0,6.0,0.0,10.0,7.0,0.0,8.0,9.0,10.0,10.4,8.0,5.0,10.0,2.0,85.0,67.0,99.0,58.0,47.0,58.0,83.0,88.0,57.0,9.0,6.0,0.61,0.0,16.0,1.0,1.0,7.0,1.0,1.0,8.0,2.2,100.0,8.0,8.0,100.0,4.0,2.0,1.33,27.1,12.2,16.0,3.28,9.14,7.0,6.0,3.0,5.0,0.0,-5.7,57.0,6.0,8.0,9.0,7.0,7.0
PA,1.0,1.1,0.8,0.4,0.8,-0.07,1.0,5.0,1.0,9.0,0.3,27.0,1.0,1.0,1.0,-1.0,1.0,0.0,0.0,1.0,1.0,5.0,2.0,5.0,6.0,4.0,0.0,1.0,5.0,4.0,1.0,0.17,0.06,6.0,0.1,0.11,1.0,0.183,0.656,3.0,-0.2,2.0,2.0,1.0,89.0,0.0,1.0,0.77,17.7,5.5,1.0,-0.53,-1.11,0.7,0.0,2.0,0.0,0.0,-6.8,5.0,3.0,-4.0,0.0,0.0,1.0
AP,1.0,1.1,0.8,0.4,0.8,-0.07,1.0,5.0,1.0,9.0,0.3,27.0,1.0,1.0,1.0,-1.0,1.0,0.0,0.0,1.0,1.0,5.0,2.0,5.0,6.0,4.0,0.0,1.0,5.0,4.0,1.0,0.17,0.06,6.0,0.1,0.11,1.0,0.183,0.656,3.0,-0.2,2.0,2.0,1.0,89.0,0.0,1.0,0.77,17.7,5.5,1.0,-0.53,-1.11,0.7,0.0,2.0,0.0,0.0,-6.8,5.0,3.0,-4.0,0.0,0.0,1.0
PR,1.0,-1.3,-1.2,-1.0,0.3,-0.17,0.0,3.0,1.0,3.0,-0.9,103.0,2.0,3.0,3.0,-3.6,1.0,3.0,0.0,0.0,9.0,12.0,2.0,2.0,1.0,20.0,8.0,2.0,6.0,3.0,0.0,0.14,2.9,6.0,-0.18,-0.21,2.0,-0.037,0.133,1.0,-0.3,4.0,2.0,1.0,24.0,0.0,2.0,1.03,15.7,4.3,3.0,0.21,1.31,-0.6,1.0,1.0,1.0,0.0,-7.9,18.0,7.0,-8.0,2.0,1.0,2.0
RP,1.0,-1.3,-1.2,-1.0,0.3,-0.17,0.0,3.0,1.0,3.0,-0.9,103.0,2.0,3.0,3.0,-3.6,1.0,3.0,0.0,0.0,9.0,12.0,2.0,2.0,1.0,20.0,8.0,2.0,6.0,3.0,0.0,0.14,2.9,6.0,-0.18,-0.21,2.0,-0.037,0.133,1.0,-0.3,4.0,2.0,1.0,24.0,0.0,2.0,1.03,15.7,4.3,3.0,0.21,1.31,-0.6,1.0,1.0,1.0,0.0,-7.9,18.0,7.0,-8.0,2.0,1.0,2.0
PN,2.0,-1.1,-1.1,-1.0,-1.6,0.05,1.0,2.0,2.0,8.0,-0.9,91.0,2.0,3.0,4.0,-2.4,1.0,2.0,0.0,0.0,8.0,11.0,2.0,2.0,5.0,13.0,7.0,3.0,2.0,1.0,0.0,-0.12,1.8,9.0,-0.1,-0.1,2.0,0.156,0.265,3.0,-1.0,8.0,11.0,8.0,71.0,0.0,2.0,0.91,14.6,4.3,1.0,-1.1,-3.23,-0.1,6.0,0.0,2.0,1.0,-8.0,17.0,4.0,-6.0,2.0,1.0,2.0
NP,2.0,-1.1,-1.1,-1.0,-1.6,0.05,1.0,2.0,2.0,8.0,-0.9,91.0,2.0,3.0,4.0,-2.4,1.0,2.0,0.0,0.0,8.0,11.0,2.0,2.0,5.0,13.0,7.0,3.0,2.0,1.0,0.0,-0.12,1.8,9.0,-0.1,-0.1,2.0,0.156,0.265,3.0,-1.0,8.0,11.0,8.0,71.0,0.0,2.0,0.91,14.6,4.3,1.0,-1.1,-3.23,-0.1,6.0,0.0,2.0,1.0,-8.0,17.0,4.0,-6.0,2.0,1.0,2.0
PD,2.0,-2.8,-1.8,-1.0,-2.2,0.09,1.0,2.0,2.0,4.0,-0.7,108.0,1.0,2.0,3.0,-1.0,2.0,2.0,0.0,0.0,9.0,7.0,1.0,5.0,2.0,26.0,8.0,5.0,7.0,3.0,0.0,-0.15,2.4,8.0,0.02,0.01,1.0,0.008,0.276,1.0,-1.2,1.0,11.0,7.0,44.0,1.0,0.0,0.75,19.4,4.5,2.0,0.72,0.81,-0.2,6.0,3.0,1.0,3.0,-7.3,7.0,5.0,-7.0,1.0,0.0,1.0
DP,2.0,-2.8,-1.8,-1.0,-2.2,0.09,1.0,2.0,2.0,4.0,-0.7,108.0,1.0,2.0,3.0,-1.0,2.0,2.0,0.0,0.0,9.0,7.0,1.0,5.0,2.0,26.0,8.0,5.0,7.0,3.0,0.0,-0.15,2.4,8.0,0.02,0.01,1.0,0.008,0.276,1.0,-1.2,1.0,11.0,7.0,44.0,1.0,0.0,0.75,19.4,4.5,2.0,0.72,0.81,-0.2,6.0,3.0,1.0,3.0,-7.3,7.0,5.0,-7.0,1.0,0.0,1.0
PC,3.0,-2.7,-3.1,-3.1,-1.9,0.02,3.0,2.0,2.0,9.0,-3.1,169.0,4.0,4.0,6.0,-8.9,2.0,4.0,0.0,0.0,28.0,30.0,1.0,2.0,22.0,8.0,30.0,2.0,12.0,0.0,0.0,-0.65,1.33,7.0,0.13,0.14,8.0,0.355,0.558,4.0,-1.8,3.0,0.0,2.0,86.0,1.0,2.0,0.67,5.43,2.1,18.0,-2.19,-6.7,-3.6,1.0,1.0,1.0,0.0,-8.3,30.0,8.0,-9.0,3.0,2.0,3.0
CP,3.0,-2.7,-3.1,-3.1,-1.9,0.02,3.0,2.0,2.0,9.0,-3.1,169.0,4.0,4.0,6.0,-8.9,2.0,4.0,0.0,0.0,28.0,30.0,1.0,2.0,22.0,8.0,30.0,2.0,12.0,0.0,0.0,-0.65,1.33,7.0,0.13,0.14,8.0,0.355,0.558,4.0,-1.8,3.0,0.0,2.0,86.0,1.0,2.0,0.67,5.43,2.1,18.0,-2.19,-6.7,-3.6,1.0,1.0,1.0,0.0,-8.3,30.0,8.0,-9.0,3.0,2.0,3.0
PQ,0.0,0.1,-0.1,-0.2,1.0,-0.03,0.0,3.0,1.0,8.0,-0.2,76.0,1.0,2.0,3.0,-3.6,0.0,0.0,0.0,0.0,6.0,7.0,1.0,2.0,1.0,17.0,6.0,5.0,2.0,3.0,0.0,0.15,1.92,7.0,-0.18,-0.18,2.0,-0.168,0.598,2.0,-0.6,0.0,1.0,0.0,76.0,0.0,1.0,0.83,18.0,5.0,4.0,0.24,1.3,1.0,1.0,1.0,0.0,0.0,-8.1,11.0,3.0,-6.0,1.0,0.0,1.0
QP,0.0,0.1,-0.1,-0.2,1.0,-0.03,0.0,3.0,1.0,8.0,-0.2,76.0,1.0,2.0,3.0,-3.6,0.0,0.0,0.0,0.0,6.0,7.0,1.0,2.0,1.0,17.0,6.0,5.0,2.0,3.0,0.0,0.15,1.92,7.0,-0.18,-0.18,2.0,-0.168,0.598,2.0,-0.6,0.0,1.0,0.0,76.0,0.0,1.0,0.83,18.0,5.0,4.0,0.24,1.3,1.0,1.0,1.0,0.0,0.0,-8.1,11.0,3.0,-6.0,1.0,0.0,1.0
PE,1.0,-2.6,-1.7,-0.7,-2.1,-0.11,1.0,3.0,2.0,4.0,-0.5,93.0,0.0,2.0,2.0,-1.5,2.0,3.0,0.0,1.0,3.0,7.0,1.0,4.0,10.0,19.0,3.0,6.0,13.0,4.0,0.0,-0.13,2.48,5.0,-0.08,0.07,1.0,-0.216,0.097,0.0,-0.1,7.0,5.0,0.0,50.0,1.0,0.0,0.75,19.1,4.7,1.0,-0.26,-0.43,0.0,0.0,1.0,2.0,1.0,-7.8,7.0,5.0,-7.0,1.0,0.0,1.0
