wild_mut,ALTS910101,BENS940101,BENS940102,BENS940103,BENS940104,CSEM940101,DAYM780301,FEND850101,FITW660101,GEOD900101,GONG920101,GRAR740104,HENS920101,HENS920102,HENS920103,JOHM930101,JOND920103,JOND940101,KOLA920101,LEVJ860101,LUTR910101,LUTR910102,LUTR910103,LUTR910104,LUTR910105,LUTR910106,LUTR910107,LUTR910108,LUTR910109,MCLA710101,MCLA720101,MIYS930101,MIYT790101,MOHR870101,NIEK910101,NIEK910102,OVEJ920101,QU_C930101,QU_C930102,QU_C930103,RISJ880101,TUDE900101,AZAE970101,AZAE970102,RIER950101,WEIL970101,WEIL970102,MEHP950102,KAPO950101,VOGG950101,BLAJ010101,PRLA000101,PRLA000102,QUIB020101,NAOD960101,RUSR970101,RUSR970102,RUSR970103,OGAK980101,KANM000101,NGPC000101,MUET010101,MUET020101,MUET020102,CROG050101
IQ,3.0,-3.8,-2.7,-2.0,-1.9,-0.43,2.0,1.0,3.0,7.0,-1.9,109.0,2.0,4.0,5.0,-7.0,3.0,4.0,0.0,1.0,3.0,4.0,4.0,0.0,7.0,14.0,4.0,6.0,13.0,0.0,0.0,-0.95,2.57,6.0,-0.13,-0.15,5.0,0.372,0.511,2.0,1.4,20.0,12.0,12.0,55.0,0.0,3.0,1.1,15.8,3.3,7.0,-1.47,-3.26,-0.9,7.0,1.0,3.0,0.0,-7.9,30.0,3.0,-3.5,4.0,2.0,3.0
QI,3.0,-3.8,-2.7,-2.0,-1.9,-0.43,2.0,1.0,3.0,7.0,-1.9,109.0,2.0,4.0,5.0,-7.0,3.0,4.0,0.0,1.0,3.0,4.0,4.0,0.0,7.0,14.0,4.0,6.0,13.0,0.0,0.0,-0.95,2.57,6.0,-0.13,-0.15,5.0,0.372,0.511,2.0,1.4,20.0,12.0,12.0,55.0,0.0,3.0,1.1,15.8,3.3,7.0,-1.47,-3.26,-0.9,7.0,1.0,3.0,0.0,-7.9,30.0,3.0,-3.5,4.0,2.0,3.0
IE,3.0,-4.1,-3.6,-2.9,-2.3,-0.51,2.0,1.0,3.0,3.0,-2.7,134.0,3.0,5.0,6.0,-4.8,3.0,4.0,0.0,1.0,3.0,5.0,10.0,2.0,7.0,18.0,5.0,10.0,13.0,1.0,0.0,-0.86,3.39,4.0,-0.14,-0.13,3.0,0.212,-0.135,0.0,1.5,36.0,11.0,10.0,29.0,4.0,1.0,1.15,14.9,2.5,8.0,-1.81,-5.89,-3.1,9.0,4.0,3.0,3.0,-8.3,33.0,5.0,-7.0,5.0,3.0,4.0
EI,3.0,-4.1,-3.6,-2.9,-2.3,-0.51,2.0,1.0,3.0,3.0,-2.7,134.0,3.0,5.0,6.0,-4.8,3.0,4.0,0.0,1.0,3.0,5.0,10.0,2.0,7.0,18.0,5.0,10.0,13.0,1.0,0.0,-0.86,3.39,4.0,-0.14,-0.13,3.0,0.212,-0.135,0.0,1.5,36.0,11.0,10.0,29.0,4.0,1.0,1.15,14.9,2.5,8.0,-1.81,-5.89,-3.1,9.0,4.0,3.0,3.0,-8.3,33.0,5.0,-7.0,5.0,3.0,4.0
IG,4.0,-3.4,-3.8,-4.3,-2.5,-0.22,3.0,2.0,2.0,7.0,-4.5,135.0,4.0,6.0,7.0,-5.5,3.0,2.0,0.0,1.0,16.0,20.0,5.0,6.0,8.0,9.0,18.0,8.0,11.0,1.0,0.0,-0.58,3.6,6.0,-0.23,-0.24,5.0,0.429,0.0,0.0,0.0,21.0,10.0,8.0,87.0,2.0,2.0,1.25,14.7,0.7,3.0,-2.93,-8.58,-3.7,7.0,0.0,4.0,1.0,-8.0,41.0,2.0,-2.5,7.0,4.0,6.0
GI,4.0,-3.4,-3.8,-4.3,-2.5,-0.22,3.0,2.0,2.0,7.0,-4.5,135.0,4.0,6.0,7.0,-5.5,3.0,2.0,0.0,1.0,16.0,20.0,5.0,6.0,8.0,9.0,18.0,8.0,11.0,1.0,0.0,-0.58,3.6,6.0,-0.23,-0.24,5.0,0.429,0.0,0.0,0.0,21.0,10.0,8.0,87.0,2.0,2.0,1.25,14.7,0.7,3.0,-2.93,-8.58,-3.7,7.0,0.0,4.0,1.0,-8.0,41.0,2.0,-2.5,7.0,4.0,6.0
IH,4.0,-3.7,-3.2,-2.3,-1.8,-0.14,2.0,1.0,2.0,8.0,-2.2,94.0,3.0,5.0,6.0,-5.1,3.0,4.0,0.0,1.0,10.0,10.0,4.0,17.0,13.0,15.0,12.0,9.0,15.0,2.0,0.0,-0.69,2.45,8.0,0.01,0.0,5.0,0.406,0.378,3.0,-0.8,3.0,4.0,3.0,62.0,1.0,2.0,1.24,12.4,3.0,4.0,-1.76,-4.44,-1.8,3.0,1.0,4.0,1.0,-8.2,28.0,5.0,-4.0,4.0,2.0,3.0
HI,4.0,-3.7,-3.2,-2.3,-1.8,-0.14,2.0,1.0,2.0,8.0,-2.2,94.0,3.0,5.0,6.0,-5.1,3.0,4.0,0.0,1.0,10.0,10.0,4.0,17.0,13.0,15.0,12.0,9.0,15.0,2.0,0.0,-0.69,2.45,8.0,0.01,0.0,5.0,0.406,0.378,3.0,-0.8,3.0,4.0,3.0,62.0,1.0,2.0,1.24,12.4,3.0,4.0,-1.76,-4.44,-1.8,3.0,1.0,4.0,1.0,-8.2,28.0,5.0,-4.0,4.0,2.0,3.0
II,6.0,4.4,4.2,4.0,4.1,1.0,5.0,6.0,0.0,10.0,4.0,0.0,5.0,6.0,7.0,8.1,4.0,2.0,10.0,2.0,50.0,31.0,41.0,17.0,29.0,20.0,49.0,38.0,28.0,8.0,5.0,0.75,0.0,16.0,1.0,1.0,6.0,1.0,1.0,8.0,2.2,100.0,10.0,11.0,100.0,4.0,0.0,1.33,24.7,9.2,10.0,2.76,6.74,4.5,10.0,2.0,1.0,0.0,-5.5,35.0,5.0,6.0,6.0,4.0,5.0
LA,3.0,-1.3,-1.7,-1.4,-2.3,0.2,2.0,2.0,2.0,8.0,-1.2,96.0,1.0,2.0,3.0,-3.3,1.0,2.0,5.0,0.0,1.0,10.0,18.0,14.0,7.0,6.0,3.0,19.0,7.0,2.0,0.0,-0.45,2.76,11.0,0.51,0.54,2.0,0.555,0.862,5.0,1.3,6.0,2.0,0.0,93.0,0.0,1.0,0.97,13.6,4.0,2.0,-0.39,-1.09,-0.2,0.0,3.0,0.0,2.0,-6.7,7.0,1.0,0.0,2.0,1.0,2.0
